epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.51099,1.82509,6.15921,1.50615,0.33963,0.10333,0.03791,0.01992,1.45198,5.02619,1.17544,0.00017095,0.00017095,0.00017095
2,13.5265,1.70182,4.24713,1.45335,0.50802,0.07203,0.08991,0.04635,1.69198,4.05016,1.25545,0.000342855,0.000342855,0.000342855
3,19.4689,1.59729,3.84609,1.38844,0.79444,0.04,0.07423,0.04787,1.63462,4.10445,1.26823,0.000511289,0.000511289,0.000511289
4,25.39,1.61133,3.48289,1.3973,0.62314,0.07333,0.08696,0.05579,1.56094,3.66528,1.24582,0.000510378,0.000510378,0.000510378
5,31.2883,1.63182,3.37045,1.40596,0.03078,0.33723,0.03817,0.02334,1.70209,4.0491,1.30286,0.00050517,0.00050517,0.00050517
6,37.1698,1.53629,2.98505,1.36428,0.15574,0.12471,0.05652,0.03821,1.52762,4.99106,1.23859,0.000499963,0.000499963,0.000499963
7,43.0111,1.62645,2.85271,1.42832,0.13484,0.14,0.09286,0.0514,1.70199,3.67606,1.2977,0.000494756,0.000494756,0.000494756
8,48.9065,1.59965,2.67956,1.43573,0.05103,0.13,0.08435,0.04834,1.77106,4.58813,1.32835,0.000489548,0.000489548,0.000489548
9,54.1377,1.52236,2.52723,1.33765,0.03897,0.05829,0.05859,0.03629,1.67989,3.79293,1.28361,0.000484341,0.000484341,0.000484341
10,59.8964,1.53183,2.58317,1.37612,0.59918,0.04,0.06472,0.0323,1.68491,3.84539,1.32503,0.000479133,0.000479133,0.000479133
11,65.7736,1.47202,2.44164,1.32138,0.40399,0.04667,0.04799,0.0313,2.20171,4.10018,1.58197,0.000473926,0.000473926,0.000473926
12,71.6411,1.48065,2.38502,1.33314,0.11644,0.21333,0.11616,0.0584,1.71124,3.51232,1.31707,0.000468719,0.000468719,0.000468719
13,77.6041,1.49718,2.41927,1.33531,0.18684,0.14667,0.09826,0.06059,1.66742,3.68885,1.31226,0.000463511,0.000463511,0.000463511
